,index,importance
0,milesFromMetropolis,1003
1,yearsExperience,849
2,industry_EDUCATION,212
3,industry_WEB,211
4,industry_FINANCE,190
5,major_NONE,180
6,major_ENGINEERING,168
7,jobType_VICE_PRESIDENT,164
8,industry_OIL,162
9,major_BUSINESS,151
10,industry_HEALTH,148
11,degree_DOCTORAL,132
12,jobType_JUNIOR,126
13,degree_NONE,114
14,jobType_CEO,109
15,jobType_SENIOR,107
16,jobType_JANITOR,107
17,major_CHEMISTRY,105
18,industry_SERVICE,105
19,major_LITERATURE,102
20,jobType_CTO,101
21,major_BIOLOGY,97
22,jobType_CFO,93
23,jobType_MANAGER,92
24,degree_BACHELORS,91
25,degree_MASTERS,90
26,major_PHYSICS,86
27,degree_HIGH_SCHOOL,70
28,industry_AUTO,70
29,major_MATH,62
30,major_COMPSCI,37
31,companyId_COMP31,27
32,companyId_COMP57,24
33,companyId_COMP36,20
34,companyId_COMP44,20
35,companyId_COMP62,20
36,companyId_COMP59,19
37,companyId_COMP24,17
38,companyId_COMP2,16
39,companyId_COMP8,15
40,companyId_COMP17,15
41,companyId_COMP53,15
42,companyId_COMP30,15
43,companyId_COMP13,15
44,companyId_COMP34,15
45,companyId_COMP48,14
46,companyId_COMP27,14
47,companyId_COMP1,13
48,companyId_COMP61,13
49,companyId_COMP56,13
50,companyId_COMP51,13
51,companyId_COMP37,13
52,companyId_COMP28,13
53,companyId_COMP33,12
54,companyId_COMP26,12
55,companyId_COMP9,12
56,companyId_COMP3,12
57,companyId_COMP38,12
58,companyId_COMP42,11
59,companyId_COMP14,11
60,companyId_COMP20,11
61,companyId_COMP41,11
62,companyId_COMP55,11
63,companyId_COMP47,11
64,companyId_COMP46,11
65,companyId_COMP15,11
66,companyId_COMP12,11
67,companyId_COMP29,10
68,companyId_COMP50,10
69,companyId_COMP40,9
70,companyId_COMP23,8
71,companyId_COMP10,8
72,companyId_COMP18,7
73,companyId_COMP0,7
74,companyId_COMP39,7
75,companyId_COMP16,6
76,companyId_COMP19,6
77,companyId_COMP45,6
78,companyId_COMP60,6
79,companyId_COMP22,5
80,companyId_COMP52,5
81,companyId_COMP58,5
82,companyId_COMP21,5
83,companyId_COMP6,5
84,companyId_COMP49,5
85,companyId_COMP35,4
86,companyId_COMP32,4
87,companyId_COMP43,4
88,companyId_COMP7,4
89,companyId_COMP5,3
90,companyId_COMP54,3
91,companyId_COMP4,3
92,companyId_COMP25,2
93,companyId_COMP11,1
